,BscStartDate,Asset,OriginalShorttext,PMType,Cost,RunningTime,MajorSystem,Part,Action,Variant,FM,Location,Comments,FuncLocation,SuspSugg,Rule,Unnamed: 16
40,2002-05-11,B,lh outer lip shroud lost,PM01,283.12,2.0,Bucket,Wear Items,,,Missing / Loose,Left,,Bucket Clam (Lip),0,Rule_1_3_78_218_432_499,
41,2002-05-29,B,Rebuild spare lip GET,PM01,6454.45,18.0,Bucket,GET,Repair,5,,,,Bucket Clam (Lip),0,Rule_1_3_12_78_118_362,
42,2002-05-30,B,REFIT RH OUTER ADAPTER,PM01,143.25,1.0,Bucket,Adaptor,Modify_Replace,Install,,Right,,Bucket Clam (Lip),0,Rule_1_3_17_82_356_376_509,
43,2002-06-08,B,replace bent adapter pin,PM01,341.42,9.0,Bucket,Adaptor_Mount,Replace,2V,,,,Bucket Clam (Lip),0,Rule_1_3_17_82_180_383_384,
44,2002-06-14,B,RH120C-BUCKET FRONT LIP CHANGEOUT,PM02,0.0,6.0,Bucket,,Replace,1,,Front_Right,,Bucket Clam (Lip),1,Rule_1_4_5_78_378_496_509,
45,2002-06-18,B,Change LH bucket roll cylinder,PM01,12803.84,4.0,Bucket_Hydraulic Cylinders,Cylinder_Tilt,Replace,1,,Left,,Bucket Roll (Crowd) Cylinder Left,0,Rule_1_3_5_18_113_212_378_499,
46,2002-06-18,B,Change bucket lip.,PM01,778.56,0.0,Bucket,,Replace,1,,,,Bucket Clam (Lip),0,Rule_1_3_5_78_378,
47,2002-06-18,B,fit teeth to bucket,PM01,258.72,0.0,Bucket,GET,Replace,Install,,,,Bucket,0,Rule_1_3_5_9_115_131_376,
48,2002-06-20,B,REPLACE WEAR PACKAGE LOWER WALL,PM01,214.88,2.0,Bucket,,Replace,2V,,,,Bucket Wall,0,Rule_1_3_383_384,
49,2002-06-27,B,air con. not getting cold.,PM01,214.88,7.0,Bucket,GET_Air Conditioning,,,,,,O&K RH120C,0,Rule_1_3_12_118_225,
50,2002-08-02,B,"Missing adapter,tooth and pins",PM01,159.25,36.0,Bucket,Adaptor_GET_Mount,,,Missing / Loose,,,Bucket,0,Rule_1_3_8_17_82_114_130_180_431,
51,2002-09-12,B,L/H BUCKET CYL GLAND SEAL LEAKING,PM01,0.0,41.0,Bucket_Hydraulic Cylinders,Cylinder_Seal_Tilt,,,Leak,Left,,Bucket Roll (Crowd) Cylinder Left,0,Rule_1_3_5_18_113_200_212_425_500,
52,2002-10-03,B,REPLACE MISSING BUCKET TOOTH,PM01,1532.37,21.0,Bucket,GET,Replace,2V,Missing / Loose,,,Bucket,0,Rule_1_3_5_8_114_130_383_384_431,
53,2002-10-14,B,repair wear package rhs inside bkt wall,PM01,1739.36,11.0,Bucket,,Repair,1,,Right,,Bucket Wall,0,Rule_1_3_7_357_509,
54,2002-10-29,B,replace tip,PM01,676.11,15.0,Bucket,GET,Replace,2V,,,,Bucket Clam (Lip),0,Rule_1_3_15_119_383_384,
55,2003-01-10,B,replace adaptor & tip,PM01,641.62,73.0,Bucket,Adaptor_GET_Hydraulic Cylinder,Replace,2V,,,,Bucket,0,Rule_1_3_15_16_80_119_239_383_384,
56,2003-01-20,B,replace lip shroud,PM01,153.67,10.0,Bucket,Wear Items,Replace,2V,,,,Bucket,0,Rule_1_3_78_218_383_384,
57,2003-01-28,B,WELD CRACK IN LH LIP EAR(FRONT),PM01,0.0,8.0,Bucket,,Repair,6,Structural Integrity,Front_Left,,Bucket Clam (Lip),0,Rule_1_3_78_360_363_461_496_499,
58,2003-02-08,B,replace tip,PM01,166.81,11.0,Bucket,GET,Replace,2V,,,,Bucket,0,Rule_1_3_15_119_383_384,
59,2003-02-14,B,change out damaged lip,PM01,8774.59,6.0,Bucket,,Replace,1,Structural Integrity,,,Bucket Clam (Lip),0,Rule_1_3_78_378_455,
60,2003-02-19,B,replaced adaptor,PM01,844.6,5.0,Bucket,Adaptor_Hydraulic Cylinder,Replace,2V,,,,Bucket,0,Rule_1_3_16_80_239_383_384,
61,2003-02-22,B,replace stick to bucket hose,PM01,1203.26,3.0,Bucket_Hydraulic System,Drivers Cabin,Replace,2V,,,,Hydraulic Hoses & Lines,0,Rule_1_3_5_53_281_383_384,
62,2003-04-08,B,REPLACE BUSTED LIP PIVOT GREASE LINES,PM01,59.38,45.0,Bucket,Grease System,Replace,2V,,,,Grease Lube System,0,Rule_1_3_78_139_297_383_384,
63,2003-04-11,B,LH LIP EAR CRACKED,PM01,118.76,3.0,Bucket,,,,Structural Integrity,Left,,Bucket Clam (Lip),0,Rule_1_3_78_461_499,
64,2003-04-13,B,Change out bucket clam (lip),PM01,4853.36,2.0,Bucket,Clam,Replace,1,,,,Bucket Clam (Lip),0,Rule_1_3_5_92_378,
65,2003-04-27,B,replace 2 lost tips,PM01,606.92,14.0,Bucket,GET,Replace,2V,Missing / Loose,,,Bucket Clam (Lip),0,Rule_1_3_15_119_383_384_432,
66,2003-05-01,B,replace lh outer adapter & tip,PM01,442.73,4.0,Bucket,Adaptor_GET,Replace,2V,,Left,,Bucket Clam (Lip),0,Rule_1_3_15_17_82_119_383_384_499,
67,2003-05-20,B,recover lower wear edge plate (CC1500),PM01,893.1,19.0,Bucket,Cover_Wear Items,Replace,N,,,,Bucket Wall,0,Rule_1_3_13_100_221_396,
68,2003-06-05,B,replace tooth,PM01,1043.88,16.0,Bucket,GET,Replace,2V,,,,Bucket,0,Rule_1_3_8_114_130_383_384,
69,2003-06-09,B,refit lip shroud,PM01,268.5,4.0,Bucket,Wear Items,Modify_Replace,Install,,,,Bucket Clam (Lip),0,Rule_1_3_78_218_356_376,
70,2003-06-11,B,replace tooth & adaptor,PM01,3244.06,2.0,Bucket,Adaptor_GET_Hydraulic Cylinder,Replace,2V,,,,Bucket,0,Rule_1_3_8_16_80_114_130_239_383_384,
71,2003-06-23,B,oil leak rh boom valve clam pipe adapter,PM01,124.12,12.0,Bucket_Hydraulic System,Adaptor_Clam_Hydraulic Fitting_Lift,,,Leak,Right,,Hydraulic Hoses & Lines,0,Rule_1_3_17_52_82_92_144_162_425_509,
72,2003-06-29,B,replace tooth & adaptor,PM01,0.0,6.0,Bucket,Adaptor_GET_Hydraulic Cylinder,Replace,2V,,,,Bucket,0,Rule_1_3_8_16_80_114_130_239_383_384,
73,2003-07-04,B,repair crack in lh front lip ear,PM01,631.5,5.0,Bucket,,Repair,1,Structural Integrity,Front_Left,,Bucket Clam (Lip),0,Rule_1_3_78_357_461_496_499,
74,2003-07-18,B,replace rh lip shroud!,PM01,244.04,14.0,Bucket,Wear Items,Replace,2V,,Right,,Bucket Clam (Lip),0,Rule_1_3_78_218_383_384_509,
75,2003-08-01,B,fit new tooth,PM01,528.59,14.0,Bucket,GET,Replace,Install,,,,Bucket Clam (Lip),0,Rule_1_3_8_114_130_376,
76,2003-08-10,B,replace adaptor  COMPLETED,PM01,491.98,9.0,Bucket,Adaptor_Hydraulic Cylinder,Replace,2V,,,,Bucket,0,Rule_1_3_16_80_239_383_384,
77,2003-08-11,B,replace teeth,PM01,159.61,1.0,Bucket,GET,Replace,2V,,,,Bucket,0,Rule_1_3_9_115_131_383_384,
78,2003-08-27,B,replace tip & pin  completed,PM01,180.8,16.0,Bucket,GET_Mount,Replace,2V,,,,Bucket,0,Rule_1_3_15_119_135_180_383_384,
79,2003-09-07,B,replace busted grease hose bucket pin,PM01,892.22,11.0,Bucket_Hydraulic System,Grease System_Mount,Replace,2V,,,,Grease Lube System,0,Rule_1_3_5_53_141_180_297_383_384,
80,2003-09-18,B,R/H BUCKET ROD CYL GLAND SEAL LEAKING,PM01,2881.21,11.0,Bucket_Hydraulic Cylinders,Cylinder_Seal_Tilt,,,Leak,Right,,Bucket Roll (Crowd) Cylinder Right,0,Rule_1_3_5_18_113_200_212_425_510,
81,2003-10-03,B,Repair broken grease line on bucket,PM01,0.0,15.0,Bucket,Grease System,Repair,1,Structural Integrity,,,Grease Lube System,0,Rule_1_3_5_139_297_357_460,
82,2003-10-27,B,replace adaptor & tooth,PM01,1264.05,24.0,Bucket,Adaptor_GET_Hydraulic Cylinder,Replace,2V,,,,Bucket,0,Rule_1_3_8_16_80_114_130_239_383_384,
83,2003-11-14,B,lost tooth COMPLETED,PM01,162.47,18.0,Bucket,GET,,,Missing / Loose,,,Bucket,0,Rule_1_3_8_114_130_432,
84,2003-11-24,B,replace lip shroud lock,PM01,148.19,10.0,Bucket,Lock_Wear Items,Replace,2V,,,,Bucket Clam (Lip),0,Rule_1_3_78_163_218_383_384,
85,2003-12-31,B,bucket clam gard is falling off,PM01,295.06,37.0,Bucket,Clam,,,,,,Bucket Clam (Lip),0,Rule_1_3_5_92,
86,2004-01-01,B,replace grease line on bucket,PM01,300.49,1.0,Bucket,Grease System,Replace,2V,,,,Grease Lube System,0,Rule_1_3_5_139_297_383_384,
87,2004-02-16,B,Replace centre tooth,PM01,557.5,46.0,Bucket,GET,Replace,2V,,,,Bucket Clam (Lip),0,Rule_1_3_8_114_130_383_384,
88,2004-02-18,B,oil leak dist. block rear of bucket,PM01,4.53,2.0,Bucket_Hydraulic System,Lock_Wear Items,,,Leak,Rear,,Bucket Roll (Crowd) Cylinders,0,Rule_1_3_5_52_163_222_425_507,
89,2004-02-24,B,replace broken bucket lube fittings,PM01,465.54,6.0,Bucket,Grease System,Replace,2V,Structural Integrity,,,Grease Lube System,0,Rule_1_3_5_255_383_384_460,
90,2004-02-25,B,REPAIR BROKEN GREASE FITTING ON BUCKET.,PM01,399.04,1.0,Bucket,Grease System,Repair,1,Structural Integrity,,,O&K RH120C,0,Rule_1_3_5_297_357_460,
91,2004-03-09,B,replace tooth,PM01,862.46,13.0,Bucket,GET,Replace,2V,,,,Implements,0,Rule_1_3_8_114_130_383_384,
92,2004-03-11,B,Reorder bucket tips SHD16,PM01,930.0,2.0,Bucket,GET,,,,,,Bucket Clam (Lip),0,Rule_1_3_5_15_119_136,
93,2004-03-23,B,Replace bucket tip,PM01,153.96,12.0,Bucket,GET,Replace,2V,,,,Bucket,0,Rule_1_3_5_15_119_383_384,
94,2004-04-06,B,GET SUSPENTION ROPE SOCKETS,PM01,244.74,14.0,Bucket,GET_Track,,,,,,Bucket Clam (Lip),0,Rule_1_3_12_118_291,
95,2004-04-06,B,REPLACE LEFT HAND LIP SHROUD,PM01,1028.19,0.0,Bucket,Wear Items,Replace,2V,,Left,,Bucket Clam (Lip),0,Rule_1_3_78_218_383_384_501,
96,2004-04-12,B,replace tooth,PM01,354.1,6.0,Bucket,GET,Replace,2V,,,,Bucket,0,Rule_1_3_8_114_130_383_384,
97,2004-04-12,B,Broken grease line on bucket,PM01,244.74,0.0,Bucket,Grease System,,,Structural Integrity,,,Grease Lube System,0,Rule_1_3_5_139_297_460,
98,2004-04-13,B,replace adaptor keeper pin,PM01,249.55,1.0,Bucket,Adaptor_Mount_Hydraulic Cylinder,Replace,2V,,,,Implements,0,Rule_1_3_16_80_176_180_239_383_384,
99,2004-03-01,C,REPLACE BUCKET TEETH,PM01,3368.74,,Bucket,GET,Replace,2V,,,,BUCKET TEETH,0,Rule_1_3_5_9_108_124_361_362,
100,2004-04-11,C,REPAIR DAMAGED BUCKET,PM06,6491.14,41.0,Bucket,,Repair,1,Structural Integrity,,,BUCKET,0,Rule_1_5_335_433,
101,2004-05-14,C,REPLACE BROKEN LUBE FITTING / BUCKET,PM01,0.0,33.0,Bucket,Grease System,Replace,2V,Structural Integrity,,,GREASE LUBE SYSTEM,0,Rule_1_3_5_243_361_362_438,
102,2004-05-28,C,WELD NPB07 ON SPARE BUCKET,PM01,480.56,14.0,Bucket,,Repair,6,,,,BUCKET,0,Rule_1_3_5_338_341,
103,2004-08-27,C,WELD MODS TO BUCKET,PM01,1647.73,91.0,Bucket,,Modify_Repair,6,,,,BUCKET,0,Rule_1_3_5_329_338_341,
104,2004-10-28,C,MINING ~ GET,PM01,503.78,62.0,Bucket,GET,,,,,,IMPLEMENTS,0,Rule_1_3_12_111,
105,2004-11-05,C,REPLACE RIGHT HAND TOOTH,PM01,690.82,8.0,Bucket,GET,Replace,2V,,Right,,BUCKET,0,Rule_1_3_8_107_123_361_362_486,
106,2004-11-10,C,L/ H BUCKET TOOTH BROKEN,PM01,593.81,5.0,Bucket,GET,,,Structural Integrity,,,BUCKET,0,Rule_1_3_5_8_107_123_438,
107,2004-11-17,C,CHANGE BUCKET TEETH.,PM01,3604.93,7.0,Bucket,GET,Replace,1,,,,BUCKET,0,Rule_1_3_5_9_108_124_356,
108,2004-12-18,C,BUCKET TEETH BROKEN  X  2,PM01,1292.72,31.0,Bucket,GET,,,Structural Integrity,,,BUCKET,0,Rule_1_3_5_9_108_124_438,
109,2005-01-08,C,REPLACE BUCKET PIN,PM01,157.64,21.0,Bucket,Mount,Replace,2V,,,,BUCKET,0,Rule_1_3_5_173_361_362,
110,2005-01-20,C,REPLACE MISSING BUCKET TEETH,PM01,1648.79,12.0,Bucket,GET,Replace,2V,Missing / Loose,,,BUCKET,0,Rule_1_3_5_9_108_124_361_362_409,
111,2005-03-27,C,REPLACE DAMAGED LUBE LINE ON RHS BUCKET,PM01,0.0,66.0,Bucket,Grease System,Replace,2V,Structural Integrity,Right,,GREASE LUBE SYSTEM,0,Rule_1_3_5_131_243_361_362_433_487,
112,2005-05-04,C,REPLACE BROKEN BUCKET GREASE LINE.,PM01,165.0,38.0,Bucket,Grease System,Replace,2V,Structural Integrity,,,GREASE LUBE SYSTEM,0,Rule_1_3_5_132_278_361_362_438,
113,2005-05-21,C,REPLACE BROKEN GREASE LINE ON BUCKET,PM01,73.33,17.0,Bucket,Grease System,Replace,2V,Structural Integrity,,,GREASE LUBE SYSTEM,0,Rule_1_3_5_132_278_361_362_438,
114,2005-06-05,C,REPAIR BROKEN GREASE LINE ON BUCKET,PM01,205.14,15.0,Bucket,Grease System,Repair,1,Structural Integrity,,,GREASE LUBE SYSTEM,0,Rule_1_3_5_132_278_335_438,
115,2005-06-12,C,REPAIR BROKEN GREASE FITTING ON BUCKET,PM01,410.29,7.0,Bucket,Grease System,Repair,1,Structural Integrity,,,GREASE LUBE SYSTEM,0,Rule_1_3_5_278_335_438,
116,2005-07-08,C,REPAIR GREASE LINES ON BUCKET PIN,PM01,107.93,26.0,Bucket,Grease System_Mount,Repair,1,,,,GREASE LUBE SYSTEM,0,Rule_1_3_5_132_173_278_335,
117,2005-08-18,C,REPLACE GREASE LIN TO BUCKET PIN,PM01,164.14,41.0,Bucket,Mount_Grease System,Replace,2V,,,,GREASE LUBE SYSTEM,0,Rule_1_3_5_173_278_361_362,
118,2005-09-19,C,WEAR PLATES COMING OF CLAM-REPAIR BUCKET,PM01,342.48,32.0,Bucket,Clam_Wear Items,Repair,1,,,,BUCKET,0,Rule_1_3_5_85_214_335,
119,2005-09-28,C,CHANGEOUT ~ BUCKET ASSEMBLY. SWAPPED OVE,PM02,4528.35,9.0,Bucket,,Replace,4,,,,BUCKET,1,Rule_1_4_5_356_368,
120,2005-10-04,C,REPLACE O RING ON BUCKET CLAM HOSE,PM01,0.0,6.0,Bucket_Hydraulic System,Clam_Seal,Replace,2V,,,,HYDRAULIC HOSES & LINES,0,Rule_1_3_5_53_85_189_190_361_362,
121,2005-10-20,C,REPLACE BOOM TO BUCKET HOSE.,PM01,1714.79,16.0,Bucket_Hydraulic System,Lift,Replace,2V,,,,HYDRAULIC HOSES & LINES,0,Rule_1_3_5_53_155_361_362,
122,2005-10-25,C,REPLACE BUCKET TOOTH,PM01,850.25,5.0,Bucket,GET,Replace,2V,,,,BUCKET,0,Rule_1_3_5_8_107_123_361_362,
123,2005-10-27,C,REPLACE GREASE LINES TO BUCKET PINS,PM01,0.0,2.0,Bucket,Grease System_Mount,Replace,2V,,,,GREASE LUBE SYSTEM,0,Rule_1_3_5_132_173_278_361_362,
124,2005-11-27,C,REPLACE GREASE LINES ON BUCKET,PM01,858.06,31.0,Bucket,Grease System,Replace,2V,,,,GREASE LUBE SYSTEM,0,Rule_1_3_5_132_278_361_362,
125,2005-12-07,C,REPLACE CORNER TOOTH,PM01,589.34,10.0,Bucket,GET,Replace,2V,,,,BUCKET,0,Rule_1_3_8_107_123_361_362,
126,2005-12-28,C,SLOW BUCKET CLAM ACTION,PM01,2550.55,21.0,Bucket,Clam,,,,,,"IMPLEMENTS HYD,MECH - CONTROLS",0,Rule_1_3_5_85,
127,2006-02-22,C,REPAIR SHD23 SPARE BUCKET,PM01,4941.44,56.0,Bucket,,Repair,1,,,,BUCKET,0,Rule_1_3_5_335,
128,2006-02-25,C,CHANGE OUT 1 X BROKEN TOOTH,PM01,670.46,3.0,Bucket,GET,Replace,1,Structural Integrity,,,BUCKET,0,Rule_1_3_8_107_123_356_438,
129,2006-03-14,C,REPLACE / Tips broken off teeth,PM01,2357.37,17.0,Bucket,GET,Replace,2V,Structural Integrity,,,BUCKET,0,Rule_1_3_9_15_108_112_124_129_361_362_438,
130,2006-03-28,C,REPLACE ONE BUCKET TOOTH,PM01,589.34,14.0,Bucket,GET,Replace,2V,,,,BUCKET,0,Rule_1_3_5_8_107_123_361_362,
131,2006-04-17,C,NOT REQUIRED - SEE BUCKET CO 20579959,PM02,0.0,20.0,Bucket,,,,,,,CYLINDER CLAM - RIGHT,1,Rule_1_4_5,
132,2006-04-24,C,REPLACE LEAKING HOSE AT BUCKET,PM01,1882.81,7.0,Bucket_Hydraulic System,,Replace,2V,Leak,,Positional Term,HYDRAULIC HOSES & LINES,0,Rule_1_3_5_53_361_362_403_492,
133,2006-04-28,C,OIL LEAK BUCKET CLAM,PM01,0.0,4.0,Bucket_Hydraulic System,Clam,,,Leak,,,"IMPLEMENTS HYD,MECH - CONTROLS",0,Rule_1_3_5_52_85_403,
134,2006-04-28,C,REPAIR CRACK ON BUCKET,PM01,0.0,0.0,Bucket,,Repair,1,Structural Integrity,,,BUCKET,0,Rule_1_3_5_335_439,
135,2006-09-20,C,BUCKET CLAM PIPE LEAKING L/H,PM01,4726.09,145.0,Bucket,Clam,,,Leak,Left,,CYLINDER CLAM - LEFT,0,Rule_1_3_5_85_403_478,
136,2006-09-30,C,REPLACE LEAKING HOSE  AT BUCKET,PM01,3293.94,10.0,Bucket_Hydraulic System,,Replace,2V,Leak,,Positional Term,HYDRAULIC HOSES & LINES,0,Rule_1_3_5_53_361_362_403_492,
137,2006-10-12,C,REPLACE CLAM CIRCUIT HOSE- STICK /BUCKET,PM01,2000.12,12.0,Bucket_Hydraulic System,Clam_Drivers Cabin,Replace,2V,,,,HYDRAULIC HOSES & LINES,0,Rule_1_3_5_53_85_264_361_362,
138,2006-10-29,C,REPLACE BUCKET TEETH,PM01,1224.24,17.0,Bucket,GET,Replace,2V,,,,BUCKET,0,Rule_1_3_5_9_108_124_361_362,
139,2006-10-30,C,REPLACE BUCKET TEETH 2 OFF,PM01,1308.24,1.0,Bucket,GET,Replace,2V,,,,BUCKET,0,Rule_1_3_5_9_108_124_361_362,
140,2006-11-14,C,REPAIR BUCKET CRACKS,PM01,1165.7,15.0,Bucket,,Repair,1,Structural Integrity,,,BUCKET,0,Rule_1_3_5_335_439,
141,2006-11-22,C,BUCKET CROWD HOSE U/S    @ R40S,PM01,1994.16,8.0,Bucket_Hydraulic System,,,,,,,"IMPLEMENTS HYD,MECH - CONTROLS",0,Rule_1_3_5_53,
142,2007-02-15,C,REPLACE BUCKET GREASE LINE,PM01,161.96,85.0,Bucket,Grease System,Replace,2V,,,,GREASE LUBE SYSTEM,0,Rule_1_3_5_132_278_361_362,
143,2007-03-05,C,CHANGE OUT BUCKET TEETH,PM01,5136.74,18.0,Bucket,GET,Replace,1,,,,BUCKET,0,Rule_1_3_5_9_108_124_356,
144,2007-03-06,C,BUCKET PIN COMING OUT,PM01,1675.56,1.0,Bucket,Mount,,,,,,BUCKET,0,Rule_1_3_5_173,
145,2007-04-21,C,REPLACE BUCKET TOOTH,PM01,718.49,46.0,Bucket,GET,Replace,2V,,,,BUCKET,0,Rule_1_3_5_8_107_123_361_362,
146,2007-05-29,C,broken bucket tooth,PM01,612.12,38.0,Bucket,GET,,,Structural Integrity,,,BUCKET,0,Rule_1_3_5_8_107_123_438,
